gene,ensembl id,log2FoldChange,lfcSE,stat,pvalue,padj
LOC103668192,,8.863913034,1.481901244,5.981446517,2.21E-09,4.13E-05
LOC103677657,,-7.563188556,1.412516461,-5.354407374,8.58E-08,0.000346355
LOC103678552,,6.837827064,1.245201424,5.491342149,3.99E-08,0.000346355
LOC121100717,,7.915445634,1.482220198,5.340262968,9.28E-08,0.000346355
LOC121104066,,7.915445634,1.482220198,5.340262968,9.28E-08,0.000346355
SPRY4,ENSUMAG00000011636,6.414682973,1.215333603,5.278125248,1.31E-07,0.000405871
LOC103661000,,7.676580332,1.482326087,5.17873928,2.23E-07,0.000595463
BBS12,ENSUMAG00000004608,-1.091562805,0.2137265,-5.107288082,3.27E-07,0.000762256
LOC103657605,,7.501553433,1.482455885,5.060220346,4.19E-07,0.000783717
MYT1,ENSUMAG00000021466,7.501018382,1.482516442,5.059652743,4.20E-07,0.000783717
LOC103681334,,-7.295633154,1.470010689,-4.962979663,6.94E-07,0.00117755
LOC121101012,,-6.98298832,1.482805509,-4.709308319,2.49E-06,0.003864883
LOC103680342,,-6.732900978,1.483179534,-4.539505045,5.64E-06,0.008093188
ENDOU,ENSUMAG00000000381,6.101104322,1.364997869,4.469680474,7.83E-06,0.010019346
LOC103667593,,5.937450772,1.330155052,4.463728316,8.05E-06,0.010019346
KCNG3,,6.254456142,1.472663659,4.247036386,2.17E-05,0.022454737
LOC103669102,,5.358563054,1.259619234,4.254113393,2.10E-05,0.022454737
LOC103680728,,-6.308263219,1.484654727,-4.248976617,2.15E-05,0.022454737
LOC103660844,,-0.27852588,0.065817438,-4.231794622,2.32E-05,0.022767325
LOC121104992,,6.154492039,1.482562569,4.151252815,3.31E-05,0.030848949
DOLK,ENSUMAG00000020613,0.388014958,0.093920734,4.131302445,3.61E-05,0.032050264
LOC103667359,,0.50262783,0.122447889,4.104830493,4.05E-05,0.034316568
CXCR3,ENSUMAG00000007654,-0.450313707,0.11010732,-4.089770834,4.32E-05,0.035030212
LOC121104823,,6.008196167,1.483127911,4.051030342,5.10E-05,0.039644617
SHANK1,,5.735014148,1.42446879,4.026072167,5.67E-05,0.042330769
LOC103682252,,-0.479068481,0.120136568,-3.98769906,6.67E-05,0.04610654
PIK3R6,ENSUMAG00000017728,0.250100103,0.062666921,3.990942862,6.58E-05,0.04610654
LOC121101622,,5.716893713,1.461176092,3.912528918,9.13E-05,0.060864723
IFNK,,5.761973624,1.483757586,3.883365908,0.00010302,0.066284718
OLFML3,,0.569584983,0.147036767,3.87375889,0.000107169,0.066655822
BCL2L15,,0.758539203,0.198032429,3.830378726,0.000127946,0.077011219
LOC103676335,,5.482790986,1.452876492,3.773748847,0.000160813,0.093768855
SLAMF8,,-0.351042395,0.094125171,-3.729527309,0.000191839,0.108470599
LOC103670745,,-0.391188484,0.105320886,-3.714253617,0.000203804,0.108650996
NPM3,,0.357000583,0.096033087,3.717474838,0.000201224,0.108650996
KCNS2,,1.731074171,0.469975751,3.683326572,0.00023021,0.11863443
SIDT1,,-1.248294078,0.339412527,-3.677807915,0.000235247,0.11863443
FAIM2,,-0.790974165,0.216119285,-3.659896274,0.000252317,0.123894466
COBLL1,,-0.851924412,0.233326516,-3.651211305,0.000261006,0.124874822
LOC103680038,,5.379996864,1.482779257,3.62831948,0.000285272,0.133072309
ICE1,,-0.434334731,0.120527457,-3.603616498,0.00031382,0.142818713
INHBB,,5.344117797,1.487831414,3.591883964,0.000328296,0.145849419
LOC103677949,,0.428578908,0.120161071,3.566703472,0.0003615,0.153300708
SIGLECL1,,0.614168312,0.172134135,3.567963514,0.000359767,0.153300708
LOC121102847,,1.530848823,0.432321156,3.540999095,0.000398615,0.165283472
AGMAT,,1.118600882,0.318093981,3.516573553,0.000437156,0.176551638
GAP43,,-0.517982714,0.147724057,-3.506420866,0.000454176,0.176551638
LOC121101054,,1.011546898,0.288025314,3.512006923,0.000444736,0.176551638
LOC103657663,,1.538460129,0.441205428,3.48694742,0.000488567,0.180537371
LOC103668435,,0.692645315,0.198345852,3.492108901,0.000479223,0.180537371
LOC121102289,,0.879316632,0.25236656,3.484283469,0.000493457,0.180537371
CCDC96,,0.929587059,0.269599806,3.448025695,0.0005647,0.195124873
RAPGEF2,,0.497073177,0.143763655,3.457571935,0.000545067,0.195124873
RFX2,,0.576341504,0.167042966,3.450259033,0.000560049,0.195124873
SERINC2,,0.556197949,0.161759255,3.438430447,0.000585097,0.198496757
FHIP1B,,0.320937729,0.093862624,3.419228186,0.00062799,0.209244157
GIPR,,1.581154779,0.464810678,3.401717847,0.000669637,0.219206372
SLC22A4,,0.361766192,0.106542296,3.395517121,0.000684991,0.220366295
VEZT,,0.260307815,0.07678434,3.39011595,0.000698631,0.220944911
GHRHR,,-1.606077676,0.477171087,-3.365831918,0.000763132,0.235438431
LOC121104602,,0.508169422,0.151084921,3.363468828,0.000769695,0.235438431
GMEB1,,0.224247667,0.066766538,3.358683473,0.000783147,0.235689396
CA2,,0.572535339,0.172968733,3.310051061,0.00093279,0.266291544
LOC103656361,,-0.405466266,0.122907551,-3.298953273,0.000970461,0.266291544
LOC103674904,,-0.946617811,0.286739311,-3.301318562,0.000962316,0.266291544
LOC103679178,,-0.64510163,0.195237295,-3.304192619,0.000952504,0.266291544
LOC103680630,,-0.532960396,0.160875756,-3.312869566,0.00092344,0.266291544
NCCRP1,,-0.829759986,0.25087399,-3.307477133,0.000941404,0.266291544
MTM1,,-0.412652629,0.125282414,-3.293779345,0.000988501,0.26731063
SLC5A3,,-0.498028954,0.152282203,-3.27043439,0.001073824,0.286235587
FHL2,,-0.379260193,0.116595338,-3.252790373,0.001142778,0.300325196
ZFP64,,-0.45612594,0.141005037,-3.234820179,0.001217194,0.31543911
LOC121103404,,-1.62844922,0.504408598,-3.228432716,0.001244705,0.3181501
FMO2,,0.914715074,0.28420232,3.218534863,0.001288473,0.321549482
SLC38A1,,-0.243323156,0.075621473,-3.217646348,0.001292471,0.321549482
CMTM4,,-0.417366717,0.130009335,-3.210282672,0.001326045,0.325561495
TRIM62,,-0.354214743,0.110727133,-3.198987748,0.00137911,0.334192455
CXCL16,,-0.467942921,0.148648247,-3.147988154,0.001643984,0.383438615
KIF25,,0.357654819,0.113558,3.149534331,0.001635309,0.383438615
PLA2G4A,,0.377567532,0.119667471,3.155139235,0.001604215,0.383438615
LOC103677856,,-0.313070482,0.100158748,-3.125742771,0.001773566,0.38932906
LOC121103940,,1.663036991,0.530862941,3.132705003,0.001732034,0.38932906
NFATC2,,-0.338940223,0.108212915,-3.132160538,0.00173525,0.38932906
S100A8,,0.671288091,0.213939992,3.137740097,0.001702558,0.38932906
TRIM52,,-0.232164515,0.074245635,-3.126978655,0.001766127,0.38932906
TENM4,,-1.109936369,0.356328354,-3.11492576,0.001839912,0.399196746
LOC103673412,,-0.687871045,0.222063284,-3.097635203,0.001950714,0.418372079
ZNF654,,0.25416854,0.082404416,3.084404346,0.002039602,0.432465124
SSC5D,,0.732612479,0.238463128,3.072225403,0.002124692,0.4454453
LOC121105539,,0.962390172,0.314463667,3.060417699,0.002210285,0.458241194
FGD6,,0.53031608,0.174603504,3.037259088,0.002387402,0.476289023
