"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000332388652556962,17,129,3.98739369308346,"Path:umr04072 Phospholipase D signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?umr04072 "," ADCY8  PLCG2  LPAR3  PLPP1  SOS2  GRB2  CYTH1  MAPK1  RAF1  RALGDS  SOS1  F2  PLCB1  DGKG  INSR  GAB2  ADCY2"
0.00286600025859061,10,59,5.12835280566069,"Path:umr04664 Fc epsilon RI signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?umr04664 "," PLCG2  SOS2  GRB2  ALOX5  MAPK1  RAF1  SOS1  VAV3  LYN  GAB2"
0.00300101120056559,9,50,5.44631067961165,"Path:umr05213 Endometrial cancer","http://www.genome.jp/kegg-bin/show_pathway?umr05213 "," TCF7  SOS2  GRB2  AXIN2    MAPK1  RAF1  SOS1  MLH1"
0.00660079136268686,10,73,4.14483308950658,"Path:umr05210 Colorectal cancer","http://www.genome.jp/kegg-bin/show_pathway?umr05210 "," TCF7  SOS2  GRB2  AXIN2  MAPK1  RAF1  RALGDS    SOS1  MLH1"
0.00660079136268686,9,60,4.53859223300971,"Path:umr05223 Non-small cell lung cancer","http://www.genome.jp/kegg-bin/show_pathway?umr05223 "," RXRG  PLCG2  SOS2  GRB2  RET  MAPK1  RAF1  SOS1  STAT3"
0.00660079136268686,12,102,3.55968018275271,"Path:umr05226 Gastric cancer","http://www.genome.jp/kegg-bin/show_pathway?umr05226 "," RXRG  TCF7  FGF9  SOS2  GRB2  AXIN2    MAPK1  RAF1  SOS1  LRP6  MLH1"
0.0109729765732643,28,413,2.05134112226428,"Path:umr05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?umr05200 "," TRAF3  RXRG  APAF1  ADCY8  PLCG2  LPAR3  TCF7  FGF9  LAMA1  SOS2  PPARD  GRB2  AXIN2  CSF3R    RET  MAPK1  RAF1  RALGDS  SOS1  F2  STAT3  PLCB1  LRP6  ADCY2  MLH1"
0.0130575063995758,9,68,4.0046402055968,"Path:umr01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?umr01521 "," PLCG2  SOS2  GRB2  MAPK1  RAF1    SOS1  STAT3  NRG1"
0.0142354646468805,15,168,2.70154299583911,"Path:umr04510 Focal adhesion","http://www.genome.jp/kegg-bin/show_pathway?umr04510 "," ARHGAP35  DOCK1  ACTN4  LAMA1  SOS2  GRB2  VTN  MAPK1  RAF1  SOS1  PAK6  RELN  VAV3  TLN2  ITGA9"
0.0149245300651457,14,160,2.64751213592233,"Path:umr04062 Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?umr04062 "," PARD3  ADCY8  PLCG2  SOS2  GRB2  MAPK1  RAF1  SOS1  STAT3  PLCB1  VAV3  LYN  ADCY2  CCR8"
