gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A4GALT,0.749210112,-1.199980382,1.759170131,-0.68212867,0.495157593,NA
A4GNT,8.901130384,-0.53233891,0.62582904,-0.850613946,0.39498384,NA
AAAS,559.7516579,-0.162215309,0.143843357,-1.127721932,0.259437372,0.690523447
AACS,52.80878481,-0.509142321,0.291888133,-1.744306341,0.081105687,NA
AADAT,6.106493043,0.032735175,0.463395678,0.070641951,0.943682722,NA
AAGAB,73.707278,0.282591648,0.166733791,1.694867289,0.090100599,0.519935323
AAK1,7601.805143,-0.41806381,0.262507267,-1.59257995,0.111254454,0.545682275
AAMDC,336.5570016,0.043861783,0.433607181,0.101155573,0.919426963,0.978601889
AAR2,559.760219,-0.063200033,0.181329843,-0.348536305,0.727437453,0.925764188
AARS1,473.4949975,-0.021389784,0.114577636,-0.186683759,0.85190859,0.962120308
AARS2,171.1477351,-0.249252414,0.236821781,-1.052489401,0.292575071,0.719897729
AARSD1,2817.316032,0.040016234,0.151207038,0.264645311,0.791282711,0.947521181
AASDH,75.42291572,-0.051570032,0.262729843,-0.1962854,0.844386788,0.958945222
AASDHPPT,270.1819335,-0.023710313,0.179438014,-0.132136512,0.894876317,0.97182621
AASS,6.02574708,0.261898778,0.683385376,0.383237317,0.701543811,NA
AATF,773.7950787,-0.089139774,0.142958967,-0.623533981,0.532933679,0.86439639
AATK,116.4749847,0.151112598,0.269695609,0.560307965,0.575269395,0.878602576
ABAT,52.48490824,-0.187628285,0.385002745,-0.48734272,0.626015479,NA
ABCA1,136.2028692,-0.84257492,0.376197324,-2.239715347,0.025109409,0.363653707
ABCA12,34.67904759,-0.063833569,0.548800125,-0.116314785,0.907403068,NA
ABCA13,10.35745791,0.285471054,0.746668639,0.382326295,0.702219353,NA
ABCA2,250.8544561,-0.205532664,0.254740769,-0.806830667,0.419764048,0.798324219
ABCA3,335.3852027,-0.195052452,0.305665088,-0.63812473,0.52339249,0.858332307
ABCA5,6.621660072,0.45409888,1.065797488,0.426064881,0.670060569,NA
ABCA6,117.8502033,0.404904437,0.356679142,1.135206379,0.256288857,0.690523447
ABCA9,6.790834937,0.09014749,0.729484381,0.123576999,0.901650205,NA
ABCB10,13.76211178,0.110232508,0.406414843,0.271231501,0.786212987,NA
ABCB11,1.653910521,-0.516643426,0.978263244,-0.528123109,0.597413893,NA
ABCB6,160.9032123,0.195264438,0.360181811,0.542127427,0.587730726,0.882804757
ABCB7,79.07897596,0.398201205,0.221222178,1.800005809,0.071859721,0.483294686
ABCB8,56.85440053,-0.007930445,0.29443381,-0.026934559,0.978511929,NA
ABCB9,25.09524168,-0.37710894,0.444245142,-0.848875778,0.395950418,NA
ABCC1,943.0858664,-0.364611816,0.249953152,-1.458720618,0.144642019,0.582882411
ABCC10,106.0869068,-0.127063768,0.139872693,-0.908424403,0.363654037,0.767648983
ABCC11,0.919363754,1.353161884,2.00284582,0.675619596,0.499282197,NA
ABCC12,13.6960225,0.192955875,0.767887595,0.251281407,0.801596549,NA
ABCC2,4.118053401,-0.189710756,0.708052874,-0.267933036,0.788750864,NA
ABCC3,57.16852811,-0.496058359,0.290219539,-1.709252111,0.08740426,NA
ABCC4,19.24138692,-0.268163554,0.391918959,-0.684232155,0.493828581,NA
ABCC5,49.1268291,0.294101753,0.26570878,1.106857489,0.268355548,NA
ABCC6,979.1880908,0.048405074,0.220774773,0.219250931,0.826454583,0.956070824
ABCC8,4.04487337,0.142865811,0.661432353,0.215994592,0.828991963,NA
ABCD1,237.995098,-0.31465125,0.186985026,-1.682761751,0.092421222,0.524416527
ABCD3,16.5797376,-0.003682786,0.531001999,-0.006935541,0.994466284,NA
ABCD4,80.18144057,0.062664972,0.160127171,0.391345023,0.695542223,0.917387586
ABCE1,95.72543646,0.438320603,0.343803191,1.274917206,0.202338548,0.648360907
ABCF1,1627.171981,-0.331381479,0.160274259,-2.067590155,0.038678579,0.407165632
ABCF3,430.7974836,-0.306455076,0.142925743,-2.144155906,0.032020397,0.390845334
ABCG1,257.6821406,-0.398591702,0.243115851,-1.639513429,0.101106376,0.533878919
ABCG2,187.8691955,0.186266107,0.236351106,0.788090694,0.430643658,0.804945554
ABCG4,0.599908388,-0.628027908,1.63324013,-0.384528825,0.700586536,NA
ABCG5,1.296748939,-0.60561206,1.76614935,-0.342899687,0.731673927,NA
ABCG8,1.145404448,-0.393285337,2.006293516,-0.196025823,0.844589954,NA
ABHD10,170.6891875,0.371587029,0.240133542,1.547418266,0.121762419,0.558865383
ABHD11,727.3590419,-0.23505261,0.188462236,-1.247213314,0.212319292,0.655467031
ABHD12,695.8199331,0.172253347,0.203562131,0.84619544,0.397443725,0.786436423
ABHD12B,150.5801841,-0.053734114,0.24146662,-0.222532266,0.823899558,0.95498632
ABHD13,259.662697,0.593129798,0.18768803,3.16018981,0.001576664,0.157186534
ABHD14A,737.8714971,-0.034921088,0.200096639,-0.174521115,0.861455938,0.963425893
ABHD14B,3002.857043,-0.386618621,0.248832663,-1.553729386,0.120248981,0.557321029
ABHD15,28.54131984,0.06474562,0.342492317,0.189042548,0.850059469,NA
