Div LTR/ERV1 LTR/ERVL 
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 142 75
8 182 0
9 260 65
10 100 284
11 802 304
12 163 411
13 697 1186
14 1927 2034
15 2116 7930
16 2426 3117
17 5372 3043
18 4363 4050
19 6891 3254
20 5780 2823
21 8584 4002
22 4115 4354
23 6075 4100
24 3594 4486
25 7133 8137
26 7174 9878
27 4220 7798
28 3225 5170
29 2724 8513
30 3495 9080
31 1502 7245
32 1590 6621
33 309 6338
34 555 5690
35 141 4499
36 822 3102
37 840 5120
38 58 2969
39 20 6829
40 810 2828
41 258 2765
42 555 1110
43 830 1543
44 412 1692
45 327 441
46 0 754
47 0 1029
48 0 337
49 0 686
50 0 273
51 0 188
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
