"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00980058911872685,61,1062,1.73794178414057,"GO:0042995 cell projection "," http://amigo.geneontology.org/amigo/term/GO:0042995"," ABI1  KCNQ3  SPA17  MYO3A  CEP290  TRPV4  CLCA1  LPAR3  IMPG2  BBS9  GRIA1  MAPK1  PTPN23  ATP8B1  IQGAP2  SLC9B2  ALCAM  BMX  TACR1  ACE2  SNTG1  CEP128  RDX  IFT43  ANO2  TRPV1  CDC14A  CLTRN  SLC4A10  INPP5A  ABCA4  PPP2R1A  SLC3A1  PIFO  AMBRA1  CLSTN2  CNGB3  PLCG2  CDH13  IMPG1  TTLL6  PCLO  GPR161  TXNDC15  ADAM22  RAF1  DTNBP1  NEDD9  PTPRM  CARMIL1  PCM1  DNAH9  TPH2  EVC  EVC2  ARHGAP35  TLN2  TENM2  MARK3  TTC23  "
0.0338323414782105,56,1017,1.66608433332379,"GO:0120025 plasma membrane bounded cell projection "," http://amigo.geneontology.org/amigo/term/GO:0120025"," ABI1  KCNQ3  SPA17  MYO3A  CEP290  TRPV4  CLCA1  LPAR3  BBS9  GRIA1  MAPK1  PTPN23  ATP8B1  IQGAP2  SLC9B2  ALCAM  BMX  TACR1  ACE2  SNTG1  CEP128  RDX  IFT43  ANO2  TRPV1  CDC14A  CLTRN  SLC4A10  INPP5A  ABCA4  PPP2R1A  SLC3A1  PIFO  AMBRA1  CNGB3  PLCG2  CDH13  TTLL6  GPR161  TXNDC15  ADAM22  RAF1  DTNBP1  NEDD9  PTPRM  CARMIL1  PCM1  DNAH9  TPH2  EVC  EVC2  ARHGAP35  TLN2  MARK3  TTC23  "
0.0551333225085404,5,19,7.96244251405212,"GO:0099061 integral component of postsynaptic density membrane "," http://amigo.geneontology.org/amigo/term/GO:0099061"," GRIA1  GRID1  CLSTN2  ADAM22  SORCS3"
0.063683090984949,152,3626,1.26836922121249,"GO:0071944 cell periphery "," http://amigo.geneontology.org/amigo/term/GO:0071944"," EPB41L2  AKAP13  PTPRT  PANX3  KCNQ3  SPA17  SKAP2  GPR158  DCBLD2  TRPV4  LRP6  LPAR3  FTO  IMPG2  LIPG  EXOC6  BBS9  GRIA1  MAPK1  ADRA1A  ADGRA3  CADM1  CPPED1  CCR8  TSPAN5  ITPK1  SCN5A  CCDC62  ATP8B1  SLC9B2  ALCAM  BMX  TACR1  ACE2  ITGA9  TRAF3  MFGE8  SNTG1  STAC  NEGR1  PTGER3  STRN3  TSHR  RDX  ANO2  FYB1  TRPV1    OR8D1  OR8G5  GRB2  PTPRJ  CLTRN  AP1S2  GRPR  SLC4A10  ACVR1B  RAB3C  MMP8  PTPRE  PLPP1  THSD4  LYN  INPP5A  PPP2R1A  SORCS2  GAB2  SLC9A1  FRMPD1  SLC22A3  VTN  VAV3  SLC3A1  LDLRAP1  INSR  ENPP6  PPM1A  ATP12A  ASPH  NKAIN3  NID2  CASK  CYTH1  GRID1  CKAP5  F2  CLSTN2  DPP6  VIT  CPNE3  PLCG2  CDH13  IMPG1  SLC26A7  FRMPD2  HSD17B12  ENOX1  PARD3  RET  PCLO  CCNY  XPR1  ALOX15B  MFSD2A  LDLRAD3  ADAM22  RAF1  CAP2  DTNBP1  PPP2CA  VDAC1  NEDD9  KCNH8  PREX2  CDK14  SULF1  SLCO5A1  XKR9  PTPRM  LAMA1  KRIT1  SLC11A1  LRP12  SCUBE1  CSMD3  CARMIL1  SGCZ  ADCY2  EPHA7  PLXNA2  SCN3B  GRAMD1B  ADCY8  EXOC6B  HPSE2  EPS15  EVC  EVC2  SORCS3  NBEA  STX7  STK10  SULF2  SSC5D  OR52N5  TENM2  GABRA1  MARK3  SLC24A3  STAT3  ARHGAP21"
0.063683090984949,36,612,1.77984009137636,"GO:0098590 plasma membrane region "," http://amigo.geneontology.org/amigo/term/GO:0098590"," LRP6  BBS9  GRIA1  MAPK1  ADRA1A  ITPK1  SCN5A  ATP8B1  SLC9B2  BMX  ACE2  ITGA9  SNTG1  TSHR  RDX  TRPV1  CLTRN  AP1S2  SLC4A10  PLPP1  SLC9A1  SLC3A1  LDLRAP1  INSR  ATP12A  GRID1  CLSTN2  PLCG2  CDH13  SLC26A7  FRMPD2  ADAM22  EVC  EVC2  SORCS3  GABRA1"
0.063683090984949,5,21,7.20411465557097,"GO:0099146 intrinsic component of postsynaptic density membrane "," http://amigo.geneontology.org/amigo/term/GO:0099146"," GRIA1  GRID1  CLSTN2  ADAM22  SORCS3"
0.0686735171867875,4,15,8.06860841423948,"GO:0000159 protein phosphatase type 2A complex "," http://amigo.geneontology.org/amigo/term/GO:0000159"," PPP2R2B  PPP2R1A  PPP2R3A  PPP2CA"
0.0686735171867875,72,1513,1.4398706357202,"GO:0005856 cytoskeleton "," http://amigo.geneontology.org/amigo/term/GO:0005856"," MTPN  EPB41L2  AKAP13  ABI1    MYO3A  CEP290  FGD4  BBS9  MAPK1  PTPN23  PDLIM5  SPATA5  MYH15  KIF6  TNNT3  SNTG1  CEP128  CEP192  RDX  ATM  LYST  PLEKHG6  IFT43  FYB1  CDC14A  DBT  DPP9  UBXN2B  PIBF1  ABLIM2  FRMPD1  MAP2K5  FRMD4A  LDLRAP1  NEBL  PIFO  ATP12A  CTTNBP2NL  CCSER2  LDB3  CKAP5  CSPP1  AMBRA1  DDX11  MYO18B  LATS2  STAG1  FRMPD2  TTLL6  FMN1  KATNAL1  ALOX15B  DTNBP1  NEDD9  STAU2  KRIT1  ACTN4  CARMIL1  SGCZ  PCM1  DNAH9  AXIN2  TBC1D31  EVC  EVC2  ARHGAP35  TLN2  CCDC14  ARHGAP21"
0.0686735171867875,27,433,1.88671270656293,"GO:0005929 cilium "," http://amigo.geneontology.org/amigo/term/GO:0005929"," SPA17  CEP290  TRPV4  BBS9  PTPN23  SLC9B2  TACR1  ACE2  CEP128  IFT43  ANO2  CDC14A  ABCA4  PIFO  AMBRA1  CNGB3  TTLL6  GPR161  TXNDC15  NEDD9  PCM1  DNAH9  EVC  EVC2  ARHGAP35  TTC23  "
0.0686735171867875,53,1037,1.54641844004831,"GO:0030054 cell junction "," http://amigo.geneontology.org/amigo/term/GO:0030054"," EPB41L2  ABI1  PANX3  TRPV4  GRIA1  MAPK1  SCN5A  PLCB1  SLC9B2  NRXN3  RDX  PLEKHG6  TRPV1  GRB2  PTPRJ  SLC4A10  RAB3C  PPP2R1A  SORCS2  CORO2B  SLC22A3  FRMD4A  SORBS2  RSU1  PAK6  CASK  GRID1  CLSTN2  CPNE3  FRMPD2  ARHGAP22  PARD3  PCLO  DCAF6  ALOX15B  FBXL20  ADAM22  CAP2  DTNBP1  PPP2CA  VDAC1  PHACTR1  NEDD9  PTPRM  LAMA1  DLGAP1  KRIT1  TNS1  RIMS2  SORCS3  TLN2  GABRA1  ARHGAP21"
