"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSUMAG00000020819"," ADCY2","ENSUMAG00000020819",103679250,"protein_coding","Polar bear","KK498768.1",0.002527,"adenylate cyclase 2 [Source:NCBI gene;Acc:103679250]",44.91,7,369930,2934,3009,223,302,22
"ENSUMAG00000001896"," ","ENSUMAG00000001896",103680162,"protein_coding","Polar bear","KK498828.1",0.003002,"CEA cell adhesion molecule 1 [Source:NCBI gene;Acc:103680162]",47.27,5,15349,1077,1479,402,NA,7
"ENSUMAG00000024758"," ","ENSUMAG00000024758",103677306,"protein_coding","Polar bear","KK498878.1",0.011079,"olfactory receptor 13H1-like [Source:NCBI gene;Acc:103680409]",61.21,1,972,972,972,NA,NA,1
"ENSUMAG00000024845"," ","ENSUMAG00000024845",103680460,"protein_coding","Polar bear","KK498924.1",0.015356,"olfactory receptor 10H3-like [Source:NCBI gene;Acc:103680460]",42.16,1,4438,963,963,NA,NA,2
"ENSUMAG00000003460"," ADRA1A","ENSUMAG00000003460",103673285,"protein_coding","Polar bear","KK498673.1",0.016444,"adrenoceptor alpha 1A [Source:NCBI gene;Acc:103673285]",40.84,2,106611,1362,2218,428,NA,4
"ENSUMAG00000023669"," COMMD10","ENSUMAG00000023669",103679949,"protein_coding","Polar bear","KK498806.1",0.026285,"COMM domain containing 10 [Source:NCBI gene;Acc:103679949]",38.23,3,43387,480,575,40,244,5
"ENSUMAG00000014222"," ","ENSUMAG00000014222",103676335,"protein_coding","Polar bear","KK498715.1",0.029902,"olfactory receptor 7D4-like [Source:NCBI gene;Acc:103676335]",47.59,1,933,933,933,NA,NA,1
"ENSUMAG00000004278"," USF3","ENSUMAG00000004278",103677307,"protein_coding","Polar bear","KK498734.1",0.035383,"upstream transcription factor family member 3 [Source:NCBI gene;Acc:103677307]",41.4,1,17141,6681,6681,NA,NA,4
"ENSUMAG00000013401"," INSR","ENSUMAG00000013401",103676308,"protein_coding","Polar bear","KK498713.1",0.037982,"insulin receptor [Source:NCBI gene;Acc:103676308]",49.5,10,108258,4070,4070,NA,NA,21
"ENSUMAG00000006188"," PXDNL","ENSUMAG00000006188",103677409,"protein_coding","Polar bear","KK498737.1",0.043473,"peroxidasin like [Source:NCBI gene;Acc:103677409]",35.82,8,134773,3673,3804,71,310,16
"ENSUMAG00000007337"," SOS2","ENSUMAG00000007337",103665409,"protein_coding","Polar bear","KK498515.1",0.058866,"SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:NCBI gene;Acc:103665409]",34.89,2,55982,3742,3742,NA,NA,22
"ENSUMAG00000019186"," TRAPPC9","ENSUMAG00000019186",103670586,"protein_coding","Polar bear","KK498646.1",0.059377,"trafficking protein particle complex 9 [Source:NCBI gene;Acc:103670586]",48.11,7,370035,2862,2862,NA,NA,17
"ENSUMAG00000015840"," RALGDS","ENSUMAG00000015840",103670397,"protein_coding","Polar bear","KK498643.1",0.068083,"ral guanine nucleotide dissociation stimulator [Source:NCBI gene;Acc:103670397]",61.7,1,25523,2493,2530,37,NA,15
"ENSUMAG00000019843"," SEC63","ENSUMAG00000019843",103675841,"protein_coding","Polar bear","KK498704.1",0.076757,"SEC63 homolog, protein translocation regulator [Source:NCBI gene;Acc:103675841]",36.4,4,53749,2101,2299,106,92,20
