"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000133970684019937,190,4106,1.40011775332334,"GO:0043167 ion binding "," http://amigo.geneontology.org/amigo/term/GO:0043167"," BARD1  AGBL1  MYO3A  STK35  FTO  FGD4  LIPG  MAPK1  LNX1  PDE5A  APAF1  DGKG  PDLIM5  SPATA5  ITPK1  TUT7  USP22  CYP11A1  MGAT5  ATP8B1  MYH15  PLCB1  IQGAP2  KIF6  MCTP1  PIR  PLCD1  BMX  ACE2  TRAF3  MLH1  PRKDC  HEPHL1  SIK2  ADCK1  BAZ2B  DDX10    CAMKK1  ATM  HKDC1  EXTL2  CA5A  SPTLC3  CA5B  ZRSR2  ACVR1B  ZSWIM6  RAB3C  DPF3  MMP8  CDKAL1  LYN  ABCA4  RAB6A  ABLIM2  ZNF577  PPARD  CHD7  TBC1D8B  DUS3L  RNFT2  CASQ2  PDE10A  MAP2K5  MBNL1  CP  VAV3  CA10  RASL12  RYR2  AGAP1  AGXT2  PAK6  LDLRAP1  INSR  CA12  PGS1  NPR3  PPM1A  EPHA6  GPATCH8  ATP12A  CLVS1  CYP7B1  PDE7A  NID2  CASK  TRIM55  LDB3  SGK3  MCMDC2  RNF32  F2  DDX11  CLSTN2  MYO18B  EEFSEC  LATS2  PKD1L2  PPP2R3A  RNF150  CNGB3  TOPAZ1  CALN1  CDH13  PHF21A  CYP2J2  IARS1  TRIM24  DPH6  DIS3L2  AGPS  ALOX5  RNF144B  RET  SPON1  PCLO  STK3  XPR1  KATNAL1  ALOX15B  TRIM44  RAF1  NEK11  SEC24A  JADE2  CDKL3  VDAC1  FSTL4  HSPA4  SRPK2  CDK14  SULF1  RAB31  LACTB2  WDFY2  NDUFV2  EYA1  RELN  GMDS  L3MBTL4  KRIT1  ANKIB1  ACTN4  WNK3  GNPTAB  NEK10  DNAJC24  RIMS2  ZFPM2  SCUBE1  SMARCAL1  ANXA10  COP1  PAPPA2  ADCY2  PLCL1  AOX1  DNAH9  TPH2  TLL2  ADAMTS16  EPHA7  PLXNA2  FER1L6  ZNF202  GRAMD1B  ADCY8  RXRG  EPS15  ATAD2B  ETHE1  STK32B  ARHGAP35  FOXP1  PDE7B  EFCAB8  ASXL1  TSHZ2  STK10  TENM2  ADSS1  MARK3  POLQ  PFKFB2"
0.00263274740017512,204,4771,1.29375087757141,"GO:0003824 catalytic activity "," http://amigo.geneontology.org/amigo/term/GO:0003824"," AKAP13  ELOVL6  BARD1  PTPRT  SIAE  AGBL1  MYO3A  FAR2  ST3GAL1  SKAP2  STK35  CLCA1  FTO  ST8SIA5  LIPG  C1RL  MAPK1  PTPN23  LNX1  PDE5A  HMGCLL1  OTOGL  CPPED1  APAF1  DGKG  SPATA5  ITPK1  TUT7  USP22  CYP11A1  MGAT5  ATP8B1  MANBA  PLCB1    NDUFS4  PIR  PLCD1  BMX  MOB3B  SND1  ACE2  CTDSPL  PXDNL  KDM8  MLH1  GTDC1  PRKDC  HEPHL1  ALG9  SIK2  ADCK1  DDX10  CAMKK1  ATM  HKDC1  METTL25  DPH5  EXTL2  CDC14A  DBT  CA5A  DPP9  ACSM1  SPTLC3  PTPRJ  CA5B  ACVR1B  GPAT3  RAB3C  MMP8  PTPRE  PLPP1  CDKAL1  TGS1  LYN  INPP5A  ABCA4  HTRA3  ADAMTSL3  RAB6A  PPP2R1A  CHD7  DUS3L  RNFT2  SPTSSB  PDE10A  PLD5  SCLY  MAP2K5  CP  STAMBPL1  CA10  RASL12  AGAP1  ZDHHC14  SLC3A1  AGXT2  PAK6  THUMPD2  INSR  CA12  PGS1  ENPP6  PPM1A  EPHA6  ATP12A  ASPH  CYP7B1  PDE7A  CASK  SGK3  CKAP5  F2  DDX11  DPP6  EEFSEC  LATS2  WWP1  CPNE3  PLCG2  CYP2J2  IARS1  HSD17B12  TRIM24  DPH6  DIS3L2  TTLL6  AGPS  PISD  ENOX1  ALOX5  RNF144B  RET  BCKDHB  STK3  KATNAL1  ALOX15B  PPIE  PCBD2  ADAM22  RAF1  NEK11  JADE2  CDKL3  PPP2CA  RHBDD1  HSPA4  ELOVL2  UBE3D  ZFP91  SRPK2  CDK14  SULF1  RAB31  LACTB2  NDUFV2  EYA1  RELN  PTPRM  GMDS  ANKIB1  WNK3  GNPTAB  USP37  NEK10  MPPED1  PRMT3  SMARCAL1  COP1  PAPPA2  ADCY2  PLCL1  AOX1  TPH2  TLL2  ADAMTS16  EPHA7  GALNTL6  PLXNA2  TRMT1L  UBASH3B  ADCY8  HPSE2  ATAD2B  ETHE1  STK32B  OTUD7A  PIK3C2A  ALDH1A2  ARHGAP35  PDE7B  H6PD  STK10  SULF2  ADSS1  PCSK2  MARK3  POLQ  PFKFB2"
0.00263274740017512,36,507,2.14844602746022,"GO:0004672 protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004672"," AKAP13  MYO3A  STK35  MAPK1  BMX  PRKDC  SIK2  ADCK1    CAMKK1  ATM  ACVR1B  LYN  MAP2K5  PAK6  INSR  EPHA6  CASK  SGK3  LATS2  CPNE3  TRIM24  RET  STK3  RAF1  NEK11  CDKL3  SRPK2  CDK14  WNK3  NEK10  EPHA7  STK32B  STK10  MARK3"
0.00263274740017512,41,602,2.06071186659356,"GO:0016773 phosphotransferase activity alcohol group as acceptor "," http://amigo.geneontology.org/amigo/term/GO:0016773"," AKAP13  MYO3A  STK35  MAPK1  DGKG  ITPK1  BMX  PRKDC  SIK2  ADCK1    CAMKK1  ATM  HKDC1  ACVR1B  LYN  MAP2K5  PAK6  INSR  EPHA6  CASK  SGK3  LATS2  CPNE3  TRIM24  RET  STK3  RAF1  NEK11  CDKL3  SRPK2  CDK14  WNK3  NEK10  EPHA7  STK32B  PIK3C2A  STK10  MARK3  PFKFB2"
0.00263274740017512,25,289,2.61741189908288,"GO:0042578 phosphoric ester hydrolase activity "," http://amigo.geneontology.org/amigo/term/GO:0042578"," PTPRT  PTPN23  PDE5A  CPPED1  PLCB1  PLCD1  CTDSPL  CDC14A  PTPRJ  PTPRE  PLPP1  INPP5A  PPP2R1A  PDE10A  ENPP6  PPM1A  PDE7A  PLCG2  PPP2CA  EYA1  PTPRM  PLCL1  UBASH3B  PDE7B  PFKFB2"
0.00441718121976614,44,695,1.91556890410002,"GO:0016301 kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0016301"," AKAP13  MYO3A  SKAP2  STK35  MAPK1  DGKG  ITPK1  BMX  MOB3B  PRKDC  SIK2  ADCK1    CAMKK1  ATM  HKDC1  ACVR1B  LYN  MAP2K5  PAK6  INSR  EPHA6  CASK  SGK3  LATS2  CPNE3  TRIM24  RET  STK3  RAF1  NEK11  CDKL3  SRPK2  CDK14  WNK3  NEK10  EPHA7  PLXNA2  STK32B  PIK3C2A  STK10  MARK3  PFKFB2"
0.005561505843768,14,122,3.4721470635047,"GO:0019902 phosphatase binding "," http://amigo.geneontology.org/amigo/term/GO:0019902"," PTPRT  MAPK1  TRAF3  STRN3  CEP192  FBXL2  GRB2  SLC9A1  CTTNBP2NL  AMBRA1  SPRED1  PHACTR1  SHOC2  STAT3"
0.005561505843768,118,2534,1.40898154037134,"GO:0046872 metal ion binding "," http://amigo.geneontology.org/amigo/term/GO:0046872"," BARD1  AGBL1  FTO  FGD4  LIPG  LNX1  PDE5A  DGKG  PDLIM5  ITPK1  TUT7  USP22  CYP11A1  MGAT5  ATP8B1  PLCB1  MCTP1  PIR  PLCD1  BMX  ACE2  TRAF3  HEPHL1  SIK2  BAZ2B  EXTL2  CA5A  CA5B  ZRSR2  ZSWIM6  DPF3  MMP8  CDKAL1  ABLIM2  ZNF577  PPARD  TBC1D8B  DUS3L  RNFT2  CASQ2  PDE10A  MBNL1  CP  VAV3  CA10    RYR2  AGAP1  CA12  PPM1A  GPATCH8  ATP12A  CYP7B1  PDE7A  NID2  TRIM55  LDB3  RNF32  F2  CLSTN2  PKD1L2  PPP2R3A  RNF150  TOPAZ1  CALN1  CDH13  PHF21A  CYP2J2  TRIM24  DIS3L2  ALOX5  RNF144B  RET  SPON1  PCLO  STK3  ALOX15B  TRIM44  SEC24A  JADE2  FSTL4  SRPK2  SULF1  LACTB2  WDFY2  NDUFV2  EYA1  RELN  L3MBTL4  ANKIB1  ACTN4  GNPTAB  DNAJC24  RIMS2  ZFPM2  SCUBE1  ANXA10  COP1  PAPPA2  ADCY2  AOX1  TPH2  TLL2  ADAMTS16  FER1L6  ZNF202  ADCY8  RXRG  EPS15  ETHE1  FOXP1  PDE7B  EFCAB8  ASXL1  TSHZ2  TENM2  ADSS1"
0.005561505843768,92,1863,1.49418674337768,"GO:0140096 catalytic activity acting on a protein "," http://amigo.geneontology.org/amigo/term/GO:0140096"," AKAP13  BARD1  PTPRT  AGBL1  MYO3A  STK35  CLCA1  C1RL  MAPK1  PTPN23  LNX1  CPPED1  APAF1  USP22  MGAT5  BMX  ACE2  CTDSPL  KDM8  PRKDC    SIK2  ADCK1  CAMKK1  ATM  CDC14A  DPP9  PTPRJ  ACVR1B  MMP8  PTPRE  LYN  HTRA3  ADAMTSL3  PPP2R1A  RNFT2  MAP2K5  STAMBPL1  ZDHHC14  PAK6  INSR  PPM1A  EPHA6  ASPH  CASK  SGK3  CKAP5  F2  DPP6  LATS2  WWP1  CPNE3  TRIM24  TTLL6  RNF144B  RET  STK3  KATNAL1  PPIE  ADAM22  RAF1  NEK11  JADE2  CDKL3  PPP2CA  RHBDD1  UBE3D  ZFP91  SRPK2  CDK14  EYA1  PTPRM  ANKIB1  WNK3  USP37  NEK10  PRMT3  COP1  PAPPA2  TLL2  ADAMTS16  EPHA7  GALNTL6  UBASH3B  STK32B  OTUD7A  STK10  PCSK2  MARK3"
0.00625546062912478,48,811,1.79081321154514,"GO:0016772 transferase activity transferring phosphorus-containing groups "," http://amigo.geneontology.org/amigo/term/GO:0016772"," AKAP13  MYO3A  SKAP2  STK35  MAPK1  DGKG  ITPK1  TUT7  BMX  MOB3B  PRKDC  SIK2  ADCK1    CAMKK1  ATM  HKDC1  ACVR1B  LYN  MAP2K5  PAK6  INSR  PGS1  EPHA6  CASK  SGK3  LATS2  CPNE3  TRIM24  RET  STK3  RAF1  NEK11  CDKL3  SRPK2  CDK14  WNK3  GNPTAB  NEK10  EPHA7  PLXNA2  STK32B  PIK3C2A  STK10  MARK3  POLQ  PFKFB2"
